し,タイトル,作者・画,作者・原作,掲載誌,13093,完結,ジャンル,タグ,他メディア
すらむだんく,SLAM DUNK,井上雄彦 ,,週刊少年ジャンプ,33,完結,スポーツ ドラマ,バスケットボール,ア
せいしゅんちんぽじゅうむ,青春チンポジュウム,神江里見,小池一夫,,7,完結,,,
せいしゅんどうぶつえんずう,青春動物園ズウ,やまさき拓味,小池一夫,,16,完結,,,
せいしゅんのしっぽ,青春の尻尾,平野仁,小池一夫,,6,完結,,,
せいんとせいや,聖闘士星矢,車田正美,,週刊少年ジャンプ,28,完結 続編あり,ファンタジー アクション,,ア ゲ
ぜったいぜつめいでんぢゃらすじーさん, 絶体絶命でんぢゃらすじーさん,	曽山一寿,,月刊コロコロコミック,20,完結,ギャグ,,
ぜのさーがよんこままんがげきじょう,ゼノサーガ4コママンガ劇場,アンソロジー,,,1,完結,４コマ,,
ぜるだのでんせつときのおかりなよんこままんがげきじょう,ゼルダの伝説時のオカリナ4コママンガ劇場,アンソロジー,,,2,完結,４コマ,,
ぜるだのでんせつむじゅらのかめんよんこままんがげきじょう,ゼルダの伝説ムジュラの仮面4コママンガ劇場,アンソロジー,,,1,完結,４コマ,,
ぜるだのでんせつよんこままんがげきじょう,ゼルダの伝説4コママンガ劇場,アンソロジー,,,8,完結,４コマ,,
ぜろ,ZERO,里見桂,愛英史,,76,,ドラマ,美術 贋作,
せんじょうろまんしりーず,戦場ロマンシリーズ,新谷かおる,,,5,完結,,,
そうてんこうろ,蒼天航路,王欣太,李學仁,モーニング,36,完結,歴史 ドラマ,中国,
そうむぶそうむかやまぐちろっぺいた,総務部総務課山口六平太,高井研一郎,林律雄,,66,,コメディー,サラリーマン 車,
そうるいーたー,ソウルイーター,大久保篤,,月刊少年ガンガン,20,,アクション ファンタジー,,
そーるじゃー,葬流者,ケン月影,小池一夫,,8,完結,時代劇,,
そしてこづれおおかみしかくのこ,そして-子連れ狼刺客の子,森秀樹,小池一夫,,4,完結 続編,時代劇,復讐,
そのなはわんぜろわん,その名は101,横山光輝,,月刊少年チャンピオン,5,完結,SF アクション,,
そんごくう,孫悟空,小島剛夕,小池一夫,,9,完結,,,
たいぞうもてきんぐさーが,太臓もて王サーガ,大亜門,,週刊少年ジャンプ,8,完結,ファンタジー コメディー,,
だいちょうへんどらえもん,大長編ドラえもん,藤子・F・不二雄,,月刊コロコロコミック,24,,SF,ロボット,ア
だいやのえーす,ダイヤのA,寺嶋裕二,,,27,,スポーツ,野球,
たけだしんげん,武田信玄,さいとうたかを,,,10,完結,歴史,武田信玄 戦国時代,
たそがれりゅうせいぐん,黄昏流星群,弘兼憲史,,,40,,ドラマ,,ド 映
たたみとりかさじろう,畳捕り傘次郎,小島剛夕,小池一夫,,2,完結,時代劇 ドラマ,同心,
だひめおばかみーこ,打姫オバカミーコ,片山まさゆき,,,4,,コメディー,麻雀,
だぶるあーつ,ダブルアーツ,古味直志,,週刊少年ジャンプ,3,完結,ファンタジー,,
たらおばんない,多羅尾伴内,石森章太郎,小池一夫,,3,完結,,,
ちーずすいーとほーむ,チーズスイートホーム,こなみかなた,,モーニング,4,,,動物 猫,
ちょうせんやろう,挑戦野郎,さいとうたかを,,,2,完結,,,
ちょうなんのじだい,長男の時代,川崎のぼる,小池一夫,,7,完結,,,
つばさ,銀翼,立原あゆみ,,ヤングチャンピオン,1,,,,
つりきちさんぺい,釣りキチ三平,矢口高雄,,,63,完結,ドラマ,釣り,
つりばかにっし,釣りバカ日誌,北見けんいち,やまさき 十三,,82,,コメディー,釣り,
でざーとろーず,砂の薔薇,新谷かおる,,,15,完結,アクション,,
ですのーと,DEATH NOTE,小畑健,大場つぐみ ,週刊少年ジャンプ,12,完結,サスペンス,死神,ア 映
てにすのおうじさま,テニスの王子様,許斐剛,,,42,完結 続編あり,スポーツ ドラマ,テニス,ア
でびるきんぐ,デビルキング,さいとうたかを,,,2,完結,,,
でびるまん,デビルマン,永井豪,,週刊少年マガジン,5,完結,ダークファンタジー,悪魔,ア
でゅえっと,デュエット,井上紀良,小池一夫,,9,完結,アクション,犯罪者 暗殺者,
てんしじゃないっ,天使じゃないッ！,岡田和人,,ヤングチャンピオン,1,完結,,,
てんしなこなまいき,天使な小生意気,西森博之,,週刊少年サンデー,20,完結,ファンタジー コメディー,,ア ゲ
てんせいでんせつばんが,転生伝説バンガ,神崎将臣,,,2,完結,SF,,
てんぱい,天牌,嶺岸信明,来賀友志,,61,,ドラマ,麻雀,
どうしろうでござる,道士郎でござる,西森博之,,週刊少年サンデー,8,完結,コメディー,,
とうしんようひでん,刀神妖緋伝,新谷かおる,,,7,完結,,,
どうちゅうし,道中師,小島剛夕,小池一夫,,4,完結,時代劇,,
どうぶつのおいしゃさん,動物のお医者さん,佐々木倫子,,花とゆめ,12,完結,コメディー,医療 獣医,
どかべん,ドカベン,水島新司,,,48,完結 続編あり,スポーツ ドラマ,野球,映 ア ゲ
とがり,トガリ,夏目義徳,,,8,完結 続編あり,時代劇 ファンタジー,,
とくじょうかばち,特上カバチ！！,東風孝広,田島隆,,27,続編,ドラマ,司法書士,
どくたーくまひげ,Dr.クマひげ,ながやす巧,史村翔,ヤングマガジン,5,完結,ドラマ,医療 外科,
どくたーすらんぷ,Dr.スランプ,鳥山明,,週刊少年ジャンプ,18,完結,SF コメディー,ロボット,ア
どくだねとくはいんかすが,毒ダネ特派員カスガ,さいとうたかを,,,6,完結,,,
とっこうごー,特救GO,さいとうたかを,,,6,完結,アクション,,
とどろきおとめそう,轟乙女荘,一智和智,,ヤングチャンピオン,7,完結,,,
とばくもくしろくかいじ,賭博黙示録カイジ,福本伸行,,週刊ヤングマガジン,13,完結,ドラマ,ギャンブル,
とばしてなんぼたけるがちゃーじ,飛ばしてなんボ猛がチャージ,平野仁,小池一夫,,4,完結,スポーツ,ゴルフ,
とらいがん,TRIGUN,内藤泰弘,,月刊少年キャプテン,3,完結 続編あり,SF アクション,,ア
とらいがんまきしまむ,TRIGUN MAXIMUM,内藤泰弘,,ヤングキングアワーズ,14,完結 続編,SF アクション,,
どらえもん,ドラえもん,藤子・F・不二雄,,,45,,SF,,ア
どらごんくえすとだいのだいぼうけん,DRAGON QUEST -ダイの大冒険-,	稲田浩司,三条陸,週刊少年ジャンプ,37,完結,アクション ファンタジー,,ア
どらごんくえすとれつでんろとのもんしょう,ドラゴンクエスト列伝 ロトの紋章,藤原カムイ,川又千秋,月刊少年ガンガン,21,完結,アクション ファンタジー,,
どらベースどらえもんすーぱーべーすぼーるがいでん,ドラベース ドラえもん超野球外伝,むぎわらしんたろう,,月刊コロコロコミック,19,完結,スポーツ,野球,ゲ
とりこ,トリコ,島袋光年,,週刊少年ジャンプ,16,,アクション ファンタジー グルメ,,ア
ななはんらいたー,750ライダー,石井いさみ,,,50,完結,ドラマ,,
なると,NARUTO,岸本斉史,,,58,,アクション ファンタジー,忍者,ア ゲ
なんとまごろく,なんと孫六,さだやす圭,,,76,,ドラマ,野球,
にじってものがたり,弐十手物語,小池一夫,神江里見,,110,完結,時代劇,同心,
にじゅっせいきしょうねん,20世紀少年,浦沢直樹,,ビッグコミックスピリッツ,22,完結,SF,,映
にほんしたんぽうせんごくじだい,日本史探訪〈戦国時代〉,さいとうたかを,,,5,完結,歴史,,
にほんしたんぼうばくまついしん,日本史探訪〈幕末維新〉,さいとうたかを,,,5,完結,歴史,,
ぬらりひょんのまご,ぬらりひょんの孫,椎橋寛,,週刊少年ジャンプ,18,,ファンタジー,妖怪,
ねつくんのびねつ,熱くんの微熱,立原あゆみ,,週刊少年チャンピオン,5,,ドラマ,漫画家,
のすとらだむすあいでんせつ,ノストラダムス愛伝説,やまさき拓味,小池一夫,,5,完結,歴史 ドラマ,ノストラダムス,
のぞみうぃっちぃず,のぞみウィッチィズ,野部利雄,,,48,完結,スポーツ,ボクシング,映
のだめかんたーびれ,のだめカンタービレ,二ノ宮知子,,Kiss,25,完結,コメディー,音楽 クラシック ピアノ 指揮者,ド 映 ア
はいごれいにじゅうよじ,背後霊24時!,がぁさん,,ヤングチャンピオン,3,完結,,,
はいすくーるきめんぐみ,ハイスクール!奇面組,新沢基栄,,週刊少年ジャンプ,20,完結 続編,学園 ギャグ,,ア
はがね,鋼-HAGANE-,神崎将臣,,	ヤングマガジンアッパーズ,16,完結,SF ドラマ,,
はがねのれんきんじゅつし,鋼の錬金術師,荒川弘,,月刊少年ガンガン,27,完結,ファンタジー,錬金術,ア
ばがぼんど,バガボンド,井上雄彦,,週刊モーニング,33,,歴史 ドラマ,宮本武蔵,
ばきとくべつへん,バキ特別編SAGA(性),板垣恵介,,ヤングチャンピオン,1,完結,スポーツ,格闘技,
はくしゃくかいんしりーず,伯爵カインシリーズ,由貴香織里,,,13,完結,ドラマ,イギリス,
はぐれぐも,浮浪雲,ジョージ秋山,,,54,,時代劇,,ド
バサラ,BASARA,	田村由美,,別冊少女コミック,27,完結,アクション ファンタジー,,ア
はじめのいっぽ,はじめの一歩,森川ジョージ,,,97,,スポーツ ドラマ,ボクシング,
ぱすかるしてぃー,パスカル・シティ,新谷かおる,,,2,完結,,,
はだしのげん,はだしのゲン,	中沢啓治,,週刊少年ジャンプ,10,完結,ドラマ,戦争 原爆,ド ア 映
ぱたりろ,パタリロ,魔夜峰央,,,87,,コメディー,国王,
ばちあたりでんくろう,ばちあたり伝九郎,さいとうたかを,,,2,完結,時代劇,,
ばとるろわいある,バトルロワイアル,田口雅之,高見広春,ヤングチャンピオン,15,完結,,,
はなっぺばずーか,花平バズーカ,永井豪,小池一夫,,6,完結,,,
ばななふぃっしゅ,BANANA FISH,BANANA FISH,,別冊少女コミック,19,完結,ドラマ,アメリカ,
はなのけいじくものかなたに,花の慶次～雲のかなたに～,原哲夫,隆慶一郎,週刊少年ジャンプ,18,完結,歴史,戦国時代 前田慶次,ゲ
はなび,花火,立原あゆみ,,ヤングチャンピオン,1,完結,,,
はなひき,花引き,ふんわり,小池一夫,,1,完結,,,
ぱぱらっち,パパラッチ,柳澤一明,小池一夫,,3,完結,ドラマ,カメラマン パパラッチ,
ばびるにせい,バビル２世,横山光輝,,,11,完結,SF アクション,,
はやてのごとく,ハヤテのごとく!,畑健二郎,,	週刊少年サンデー,29,,コメディー,執事,
ばらんさー,バランサー,新谷かおる,,,3,完結,,,
ばりばりでんせつ,バリバリ伝説,しげの秀一,,週刊少年マガジン,38,完結,スポーツ ドラマ,モータースポーツ バイク,
はるがきた,春が来た,小島剛夕,小池一夫,,6,完結,時代劇 ドラマ,同心 忍者,ド
はるかみらくる,ハルカミラクル,一智和智,,ヤングチャンピオン,1,,,,
ばろむわん,バロム・1,さいとうたかを,,,3,完結,SF,,
ばんせんしゅうかい,萬川集海,神崎将臣,小池一夫,,2,完結,アクション,忍者,
はんぞうのもん,半蔵の門,小島剛夕,小池一夫,,15,完結,歴史,服部半蔵 徳川家康,
はんたーはんたー,HUNTERXHUNTER,冨樫義博,,週刊少年ジャンプ,29,,アクション ファンタジー,,ア
ばんぶーぶれーど,BAMBOO BLADE,土塚理弘,,ヤングガンガン,14,完結,スポーツ,剣道,
ばんぶーぶれーどびー,BAMBOO BLADE B,土塚理弘,,月刊少年ガンガン,6,,スポーツ,剣道,
ぴあののもり,ピアノの森,一色まこと,,,20,,ドラマ,音楽 ピアノ,
ぴーつーれっつぷれいぴんぽん,P2! - let's Play Pingpong! -,江尻立真,,週刊少年ジャンプ,7,完結,スポーツ,卓球,
びーばっぷはいすくーる,BE-BOP-HIGHSCHOOL,きうちかずひろ,,,48,完結,コメディー,不良,映
ぴかいち,ぴかいち,こしばしげる,,ヤングチャンピオン,2,完結,,,
ひかるのご,ヒカルの碁,小畑健 ,ほったゆみ ,週刊少年ジャンプ,23,完結,ファンタジー ドラマ,テーブルゲーム 囲碁 幽霊,
ひつじのうた,羊のうた,冬目景,,コミックバーガー,7,完結,ドラマ,,ア
ひにょうきかいいっぽんぎまもる,泌尿器科医一本木守!,高倉あつこ,,ヤングチャンピオン,5,,,医療 泌尿器科,
びねつしょうじょ,微熱少女,宮坂香帆,,,10,完結,学園 恋愛,,
ひのとり,火の鳥,手塚治虫,,COM,17,完結,SF,輪廻転生,ア ゲ
ひのまるあげて,日の丸あげて,新谷かおる,,,2,完結,,,
ひのまるあげて,日の丸あげて,新谷かおる,,,2,完結,,,
ひふみとしごろく,1・2・3と4・5・ロク,ちばてつや ,,,3,完結,コメディー,,
ぴゅーとふくじゃがー,ピューと吹く!ジャガー,うすた京介,,週刊少年ジャンプ,20,完結,ギャグ,,
ひょうりゅう,漂流,さいとうたかを,,,4,完結,,,
ひらけこま,ひらけ駒!,南Q太,,,3,,ドラマ,将棋,
ふぁんとむぶらい,ファントム無頼,新谷かおる,,,12,完結,,,
ふしぎゆうぎ,ふしぎ遊戯,渡瀬悠宇,,少女コミック,18,完結,ファンタジー,,ア ゲ
ぶそうれんきん,武装錬金,	和月伸宏,,週刊少年ジャンプ,10,完結,SF アクション,,
ふたりえっち,ふたりえっち,克 亜樹,,,51,,ドラマ,セックス,
ふたりだか,ふたり鷹,新谷かおる,,,19,完結,スポーツ,モータースポーツ バイク,
ぶっとびしーぴーゆー,ぶっとび!!CPU,新谷かおる,,,3,完結,,,
ぶらざーず,BROTHERS,叶精作,小池一夫,,9,完結,SF アクション,サイボーグ,
ブラックジャック,ぶらっくじゃっく,手塚治虫,,週刊少年チャンピオン,22,完結,ドラマ,医療 外科,ドア
ぶらっくじゃっくによろしく,ブラックジャックによろしく,佐藤秀峰,,モーニングKC,13,完結 続編あり,ドラマ,医療 研修医,ド
ぶらっくらぐーん,BLACK LAGOON,広江礼威,,月刊サンデージェネックス,9,,アクション,,ア
ぶらっどれいん,BLOOD RAIN,村生ミオ,,ヤングチャンピオン,9,完結,,,
ぷらねてす,プラネテス,	幸村誠,,モーニング,4,完結,SF ドラマ,宇宙,ア
ぶりーち,BLEACH,久保帯人,,,51,,アクション ファンタジー,死神,ア ゲ
ふるーつばすけっと,フルーツバスケット,高屋奈月,,,23,,ファンタジー,,
ぷるーとぅ,PLUTO,浦沢直樹,手塚治虫,,8,完結,SF ドラマ,ロボット,
ぶれいくだうん,ブレイクダウン,さいとうたかを,,,7,完結,,,
ぶれいだー,凶刃者-ブレイダー,叶精作,小池一夫,,2,完結,時代劇,,
へるしんぐ,HELLSING,	平野耕太,,ヤングキングアワーズ,10,完結,ホラー,ドラキュラ,ア
べるせるく,ベルセルク,三浦建太郎,,ヤングアニマル,36,,アクション ファンタジー,復讐,ア ゲ
ほうじょうときまさ,北条時宗,さいとうたかを,,,6,完結,歴史,北条時政,
ほうしんえんぎ,封神演義,,藤崎竜,,23,完結,歴史 ファンタジー,中国,ア
ぼくのわたしのゆうしゃがく,ぼくのわたしの勇者学,麻生周一,,週刊少年ジャンプ,6,完結,学園 コメディー,,
ポケットモンスター☆SPECIAL,ぽけっともんすたーすぺしゃる,真斗・山本サトシ,日下秀憲,,39,,ファンタジー,,ア ゲ
ほしのふね,星の艦,井上紀良,小池一夫,,2,完結,,,
ほっぷすてっぷじゃんぷっ,ほっぷすてっぷじゃんぷッ！,岡田和人,,ヤングチャンピオン,1,,,,
ほてる,HOTEL,石ノ森章太郎,,,25,完結,ドラマ,ホテル,ド
ほてるたんていどーる,ホテル探偵DOLL,さいとうたかを,,,3,完結,アクション,探偵,
ぼのぼの,ぼのぼの,いがらしみきお,,まんがライフ,34,,ギャグ,動物,ア
ほりっく,XXXHOLiC,CLAMP,,週刊ヤングマガジン,19,完結,ファンタジー,,ア
まおうじゅぶないるりみっくす,魔王～JUVENILE REMIX～,大須賀めぐみ,伊坂幸太郎,週刊少年サンデー,10,完結,アクション,,
まじ,本気,立原あゆみ,,,50,完結 続編あり,ドラマ ,暴力団,
まじさんだーな,本気！サンダーナ,立原あゆみ,,ヤングチャンピオン,1,,,,
まじょのなまえ,魔女の名前,川村万理,,ヤングチャンピオン,1,,,,
ますたーきーとん,MASTERキートン,浦沢直樹,勝鹿北星 長崎尚志,ビッグコミックオリジナル,18,完結,ドラマ,保険調査員 考古学者,
まぞう,魔像,田中憲,小池一夫,,1,完結,,,
まつだゆうさくものがたり,松田優作物語,高岩ヨシヒロ,宮崎克,ヤングチャンピオン,6,完結,,,
まつだゆうさくものがたりかぜはしるへん,松田優作物語風奔る編,高岩ヨシヒロ,宮崎克,ヤングチャンピオン,1,,,,
まっちょていすと,マッチョティスト,中村真理子,小池一夫,,2,完結,,,
まっどぶるさーてぃーふぉー,マッド・ブル34,井上紀良,小池一夫,,27,完結,ドラマ アクション,警察 警察官,ア
まっどぶるにせん,マッド・ブル2000,井上紀良,小池一夫,,7,完結,ドラマ,警察 警官 アメリカ,
まてりあるぱずる,マテリアル・パズル,土塚理弘,,月刊少年ガンガン,20,完結,アクション ファンタジー,,
まてりあるぱずるさいこうしょうねん,マテリアル・パズル 〜彩光少年〜,土塚理弘,,月刊少年ガンガン,2,完結,アクション ファンタジー,,
まどうてんがいかなめ,,乾良彦,,ヤングチャンピオン,2,,,,
まほうじんぐるぐる,魔法陣グルグル,衛藤ヒロユキ,,月刊少年ガンガン,16,完結,ファンタジー コメディー,完結,
まほらば,まほらば,小島あきら,,月刊ガンガンWING,12,完結,コメディー,ハーレム,ア
まものがたりいとしのべてぃ,魔物語―愛しのベティ,叶精作,小池一夫,,13,完結,ファンタジー,,
まるごしでか,まるごし刑事,渡辺みちお,北芝健 ,,75,完結,ドラマ,警察 刑事,
まるごとすたーおーしゃんよんこままんがげきじょう,まるごとスターオーシャン!4コママンガ劇場,アンソロジー,,,1,完結,４コマ,,
まんがすいこでん,マンガ水滸伝,さいとうたかを,,,3,完結,,,
まんがにほんのこてんへいきものがたり,マンガ日本の古典 平家物語,横山光輝,,,3,完結,歴史,平家物語,
まんがにほんのれきし,マンガ 日本の歴史,石ノ森章太郎,,,14,完結,歴史 ドラマ,,
まんだらやのりょうた,まんだら屋の良太,畑中純,,,53,完結,ドラマ,,ド 映
みえるひと,みえるひと,	岩代俊明,,週刊少年ジャンプ,7,完結,ファンタジー,,
みすたーぼーい,Mr.ボーイ,山本貴嗣,,,4,完結,,,
みそららいじんぐ,美晴ライジング,大谷じろう,,,5,完結,スポーツ,ソフトボール,
みなみけ,みなみけ,桜場コハル,,週刊ヤングマガジン,8,,コメディー,,ア
みなみのていおう,ミナミの帝王,郷力也,天王寺大,,112,,ドラマ,金融 闇金融,ド
むげんじごく,無間地獄,早川ナオヤ,新堂冬樹,,5,完結,ドラマ,金融 闇金融,
むさし,ムサシ,川崎のぼる,小池一夫,,13,完結,時代劇,,
むしし,蟲師,漆原友紀,,月刊アフタヌーン,10,完結,ファンタジー,,ア 映
むてきかんばんむすめ,無敵看板娘,佐渡川準,,週刊少年チャンピオン,17,完結,コメディー,,ア
むようのすけ,無用ノ介,さいとうたかを,,,15,完結,時代劇 アクション,,
めいきゅうがいろんど,迷宮街輪舞曲,結城さくや,林亮介,Comic REX,3,完結,SF,,
めいたんていこなん,名探偵コナン,青山剛昌,,,73,,ミステリー,探偵,
めぐみっくす,メグミックス,倉島圭,,ヤングチャンピオン,1,,,,
めじゃー,MAJOR,満田拓也,,,79,完結,ドラマ,野球,
めぞんいっこく,めぞん一刻,高橋留美子,,,15,完結,恋愛 コメディー,,映 ア
ももたろうざむらい,桃太郎侍,池辺かつみ,小池一夫,刃-JIN-,8,完結,時代劇,,
もんすたー,MONSTER,浦沢直樹,,ビッグコミックオリジナル,18,完結,サスペンス,逃避行,ア
やきゅうきょうのうた,野球狂の詩,水島新司,,,13,完結,スポーツ ドラマ,野球,
やしゃじんとうげ,夜叉神峠,政岡としや,小池一夫,,6,完結,,,
やすうらてっきんかぞく,浦安鉄筋家族,浜岡賢次 ,,週刊少年チャンピオン,31,完結 続編あり,コメディー,,
ゆうやけのうた,夕焼けの詩,西岸良平,,,59,,ドラマ,,
ゆうゆうはくしょ,ゆうゆうはくしょ,冨樫義博,,週刊少年ジャンプ,19,完結,ファンタジー,,ア
よこはまほめろす,横浜ホメロス,叶精作,小池一夫,,4,完結,,,
よつばと,よつばと!,あずまきよひこ,,月刊コミック電撃大王,10,,コメディー,,
よんぴーたなかくん,4P田中くん,川三番地,七三太朗,,51,完結,スポーツ,野球,
らいあーげーむ,LIAR GAME,甲斐谷忍,,週刊ヤングジャンプ ,13,,ミステリー,,ド
らきすた,らき☆すた,美水かがみ,,	コンプティーク,8,,4コマ,,ア
らくだいにんじゃらんたろう,落第忍者乱太郎,尼子騒兵衛,,,49,,コメディー,忍者,
らぶぜっと,ラブZ,やまさき拓味,小池一夫,,9,完結,,,
りある,リアル,井上雄彦,,週刊ヤングジャンプ,10,,ドラマ スポーツ,バスケットボール 障碍者,
るいだん,涙弾,伊賀和洋,小池一夫,,21,完結,ドラマ,,
るーきーず,ROOKIES,森田まさのり,,週刊少年ジャンプ,24,完結,学園 ドラマ スポーツ,野球 不良,ド 映
るーじゅ,ルージュ,立原あゆみ,,ヤングチャンピオン,1,完結,,,
るろうにけんしん,るろうに剣心,和月伸宏,,週刊少年ジャンプ,28,簡潔,時代劇 アクション,,ア
れいざー,レイザー,伊賀和洋,小池一夫,,4,完結,歴史,,
れいず,RAISE,新谷かおる,,,3,,,,
れいぶ,RAVE,真島ヒロ,,,50,完結,アクション ファンタジー,,
れきしげきがだいさいしょう,歴史劇画大宰相,さいとうたかを,,,10,完結,歴史,政治家,
れっか,烈火,さいとうたかを,,,2,完結,時代劇,,
れっぷうでん,烈風伝,新谷かおる,,,3,完結,,,
れべるいー,レベルE,冨樫義博,,週刊少年ジャンプ,3,完結,SF コメディー,,ア
れんあいじゃんきー,恋愛ジャンキー,葉月京,,ヤングチャンピオン,10,,,,
れんかんにほんしょき,連環日本書紀,井上紀良,小池一夫,,2,完結,歴史,日本書紀,
ろいやるどっぐ,ロイヤルドッグ,高口里純,,ヤングチャンピオン,2,,,,
ろーぜんめいでん,Rozen Maiden,PEACH-PIT,,コミックバーズ,8,,ファンタジー,,ア
ろくでなしぶるーす,ろくでなしBLUES,森田まさのり,,週刊少年ジャンプ,42,完結,学園 コメディー スポーツ,ボクシング 不良,
わいるどらいふ,ワイルドライフ,藤崎聖人,,	週刊少年サンデー,27,完結,ドラマ,医療 獣医,ド
わたるがぴゅん,わたるがぴゅん,なかいま強,,,58,,スポーツ,野球,
わんなうつ,ONE OUTS,甲斐谷忍,,ビジネスジャンプ,20,完結,スポーツ,野球,
わんぴーす,ONE PIECE,尾田栄一郎,,,64,,アクション,海賊,
じょふくでんせつ,徐福伝説,諸星大二郎,,,1,完結,,歴史 中国,
